,Symbols,Percentage Return,Price Dec 2021,Price Jan 2017,Mean Price,Standard Deviation,COV
0,AA,107.11105777407069,59.58000183105469,28.76717567443848,31.556165968642716,13.219757767729583,0.41892788182398405
1,AAL,-59.8580534970624,17.959999084472656,44.74122619628906,30.803965810937857,12.76475871231079,0.4143868614403632
2,AAME,-38.77102740645909,2.450000047683716,4.001373767852783,2.9629646318123584,0.8208669943501128,0.2770424545526933
3,AAN,,24.64999961853028,,25.821612692051417,4.906303436131641,0.19000763022217945
4,AAOI,-77.748918694353,5.139999866485596,23.100000381469727,22.86081417976058,19.271794973150623,0.8430056262043618
5,AAON,146.58090573707057,79.43000030517578,32.21255111694336,47.916634304358716,14.114071737995632,0.29455473955756845
6,AAP,44.67924620679773,239.8800048828125,165.80125427246094,149.26246817591078,34.62092276556164,0.2319466051221914
7,AAPL,549.6669349832885,177.57000732421875,27.33246803283692,73.54761812514592,41.158475252311945,0.5596166986982257
8,AAT,0.5638703478447695,37.52999877929688,37.31956481933594,34.94525702024283,5.92593759731604,0.1695777367979668
9,AAWW,82.58002742882078,94.12000274658205,51.54999923706055,54.069857069383644,16.037490287503363,0.2966068555891261
10,ABBV,173.00102103407102,135.39999389648438,49.59688186645508,81.62738070438739,18.964876898323396,0.23233474766272946
11,ABC,75.43078755200028,132.88999938964844,75.75067138671875,90.47388944254686,15.18298693508796,0.16781622884389788
12,ABCB,21.507095766797832,49.68000030517578,40.88650131225586,41.077346257883185,9.20750990483976,0.22415055361743919
13,ABEO,-93.19999992847443,0.3400000035762787,5.0,6.384034948868823,5.4864437156868044,0.859400639192763
14,ABG,176.3679931640625,172.72999572753906,62.5,98.98573483807213,46.748847367386325,0.4722786312983522
15,ABIO,-95.59245561875673,2.150000095367432,48.77999877929688,12.783756953558342,13.361157599913838,1.0451667415496957
16,ABM,9.877612350114148,40.84999847412109,37.17772674560547,36.97087776784011,6.102468916271734,0.16506151015922307
17,ABMD,219.6600315741228,359.1700134277344,112.36000061035156,259.1177363013161,85.53779016842851,0.3301116758327981
18,ABR,279.27955311542263,18.31999969482422,4.830210208892822,9.933977420979591,4.194103796161086,0.4221978386324442
19,ABT,293.77064888860616,140.74000549316406,35.74161911010742,79.75154911250326,27.19949829198158,0.3410529148921235
20,ABTX,20.769152437261454,42.209999084472656,34.95097732543945,35.25057880834893,5.332766633457256,0.15128167575490178
21,AC,32.15147780984461,43.0,32.53841781616211,36.57227049563213,3.069178063595343,0.0839209057026388
22,ACA,,52.70000076293945,,44.09917640206199,11.055233941399303,0.2506902587160875
23,ACAD,-18.873827663462833,23.34000015258789,28.770000457763672,31.041652105269307,11.31620909973562,0.36454918898516675
24,ACBI,52.22222771664221,28.770000457763672,18.89999961853028,18.557243850895865,4.260751361558425,0.2296004404421691
25,ACC,45.453814665932526,57.290000915527344,39.3870735168457,39.42290116719919,5.905993799768401,0.14981124232131174
26,ACCO,-29.345238182640752,8.260000228881836,11.690649032592772,8.949521040518762,1.932228901574081,0.2159030514399549
27,ACER,-76.71489466517363,2.2799999713897705,9.791666984558104,10.059212335146448,8.602189905727288,0.8551554156652617
28,ACGL,55.25673093225913,44.45000076293945,28.6299991607666,33.73706911252168,5.371516913443322,0.15921705870560215
29,ACHC,84.55458160343943,60.70000076293945,32.88999938964844,40.23149326209325,12.041519303736294,0.2993058006892825
30,ACHV,-99.3065953467194,7.78000020980835,1122.0,193.9101032445694,330.15257245973436,1.7026063466292365
31,ACIW,86.96121638696158,34.70000076293945,18.559999465942383,29.168308139888893,5.7657872828738475,0.19767301055726608
32,ACLS,426.925792004637,74.55999755859375,14.149999618530272,26.666147724421275,11.180622251424838,0.41928149378642526
33,ACM,109.054049930057,77.3499984741211,37.0,41.77797457488214,12.426496722770263,0.2974413395866576
34,ACMR,,85.2699966430664,,43.28473854610938,36.50261378098476,0.8433137176536272
35,ACN,285.0627184433958,414.5499877929688,107.65778350830078,193.11414877699897,68.99519442291407,0.3572767446604192
36,ACNB,16.363059312011913,31.280000686645508,26.881383895874023,28.06295672288672,4.246801839226262,0.15133123288334
37,ACOR,-97.95726486760327,2.390000104904175,117.0,65.51290700585241,62.67234333266986,0.9566411596889023
38,ACRE,64.16278224151836,14.539999961853027,8.857062339782715,10.408807391870392,2.3882850883913305,0.22944848516042834
39,ACRS,-47.97853465130324,14.539999961853027,27.950000762939453,13.561098492410657,9.89202195168218,0.7294410520813014
40,ACRX,-78.03921518212141,0.5600000023841858,2.549999952316284,2.1911834804097086,0.8921271740673511,0.40714398499414606
41,ACTG,-23.999998304578995,5.130000114440918,6.75,4.055003976518905,1.2730571320503399,0.3139471969502777
42,ACU,56.75175449055897,33.70000076293945,21.49896240234375,24.636579189345987,7.578232435457988,0.3076008392729771
43,ACY,503.90825184831164,59.70000076293945,9.885607719421388,12.033031561859454,10.200548995839164,0.8477123111827757
44,ADBE,447.9899296124234,567.0599975585938,103.4800033569336,327.27732380086036,153.85829153930257,0.47011595472749984
45,ADC,87.05172536369983,71.36000061035156,38.14987564086914,56.00247126330072,11.310138013956104,0.20195783791005328
46,ADES,-8.345568759840063,6.619999885559082,7.222782135009766,8.17509450128478,2.3826662663222025,0.2914542781062345
47,ADI,167.69115434439766,175.77000427246094,65.66149139404297,108.50392893214752,32.03687374593049,0.29526003400268225
48,ADM,70.305977300049,67.58999633789062,39.6873893737793,43.68795876961269,9.130234271079711,0.20898743105000084
49,ADMA,-71.68674776664508,1.409999966621399,4.980000019073486,3.4556060384624625,1.3340878210456864,0.38606479042943087
